-- PANTS

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (42, 89.90, 'Brown', 'Castro', 'Men', '~/Images/ManShirt8.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (43, 69.90, 'White',  'Castro', 'Men', '~/Images/ManShirt9.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (44, 119.90, 'Brown',  'Zara', 'Men', '~/Images/ManShirt10.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (45, 89.90, 'Blue', 'Zara', 'Men', '~/Images/ManShirt11.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (46, 69.90, 'Brown',  'Zara', 'Men', '~/Images/ManShirt12.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (10, 119.90, 'Black','Zara', 'Women', '~/Images/WomanShirt1.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (11, 79.90, 'Green', 'Bershka', 'Women', '~/Images/WomanShirt2.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (12, 99.90, 'Gray',  'Asos', 'Women', '~/Images/WomanShirt3.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (47, 89.90, 'Gray',  'Asos', 'Women', '~/Images/WomanShirt4.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (48, 103.90, 'Yellow','Adidas', 'Women', '~/Images/WomanShirt5.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (52, 150.90, 'Blue', 'Adidas', 'Women', '~/Images/WomanShirt6.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (53, 100.90, 'Purple',  'Adidas', 'Women', '~/Images/WomanShirt7.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (54, 99.90, 'Blue',  'Asos', 'Women', '~/Images/WomanShirt8.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (55, 80.90, 'Blue','Adidas', 'Women', '~/Images/WomanShirt9.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (56, 79.90, 'Brown', 'Bershka', 'Women', '~/Images/WomanShirt10.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (57, 95.90, 'White',  'Asos', 'Women', '~/Images/WomanShirt11.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (58, 110.90, 'White',  'Asos', 'Women', '~/Images/WomanShirt12.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (59, 139.90, 'Black',  'Asos', 'Women', '~/Images/WomanShirt13.JPG', 3);


-- SHOES
INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (13, 349.90, 'Black',  'Vans', 'Men', '~/Images/ManShoes1.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (14, 245.90, 'White', 'Renuar', 'Men', '~/Images/ManShoes2.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (15, 399.90, 'Brown', 'Renuar', 'Men', '~/Images/ManShoes3.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (16, 349.90, 'Gray',  'Adidas', 'Men', '~/Images/ManShoes4.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (64, 380.90, 'Yellow',  'Vans', 'Men', '~/Images/ManShoes5.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (65, 450.90, 'Red', 'Renuar', 'Men', '~/Images/ManShoes6.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (66, 250.90, 'Black', 'Renuar', 'Men', '~/Images/ManShoes7.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (67, 199.90, 'White',  'Adidas', 'Men', '~/Images/ManShoes8.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (68, 299.90, 'White',  'Vans', 'Men', '~/Images/ManShoes9.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (69, 199.90, 'Black', 'Renuar', 'Men', '~/Images/ManShoes10.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (70, 325.90, 'White', 'Renuar', 'Men', '~/Images/ManShoes11.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (71, 369.90, 'Red',  'Adidas', 'Men', '~/Images/ManShoes12.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (17, 299.90, 'Black', 'Bershka', 'Women', '~/Images/WomanShoes1.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (18, 249.90, 'White', 'Adidas', 'Women', '~/Images/WomanShoes2.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (19, 349.90, 'Black', 'Renuar', 'Women', '~/Images/WomanShoes3.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (49, 299.90, 'White', 'Zara', 'Women', '~/Images/WomanShoes4.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (50, 269.90, 'White', 'Zara', 'Women', '~/Images/WomanShoes5.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (51, 300.90, 'Black', 'Zara', 'Women', '~/Images/WomanShoes6.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (60, 299.90, 'Blue', 'Castro', 'Women', '~/Images/WomanShoes7.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (61, 229.90, 'Black', 'Adidas', 'Women', '~/Images/WomanShoes8.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (62, 380.90, 'Yellow', 'Adidas', 'Women', '~/Images/WomanShoes9.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (63, 250.90, 'Red', 'Vans', 'Women', '~/Images/WomanShoes10.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (72, 249.90, 'White', 'Adidas', 'Women', '~/Images/WomanShoes11.JPG', 2);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color],  [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (73, 349.90, 'White', 'Nike', 'Women', '~/Images/WomanShoes12.JPG', 2);

